medcodeid,term
77727018,insulin dependent diabetes mellitus
197984010,type 1 diabetes mellitus
292482014,"diabetes mellitus, juvenile type, with hyperosmolar coma"
292538019,type i diabetes mellitus with ulcer
292540012,type 1 diabetes mellitus with ulcer
292541011,type 1 diabetes mellitus with gangrene
292543014,type i diabetes mellitus with gangrene
292548017,type 1 diabetes mellitus - poor control
292550013,type i diabetes mellitus - poor control
292551012,type i diabetes mellitus maturity onset
292553010,type 1 diabetes mellitus maturity onset
429970018,unstable type i diabetes mellitus
429971019,unstable type 1 diabetes mellitus
429972014,unstable insulin dependent diabetes mellitus
457325013,type i diabetes mellitus without complication
457326014,type 1 diabetes mellitus without complication
459161015,type 1 diabetes mellitus with hypoglycaemic coma
459162010,insulin dependent diabetes mellitus with hypoglycaemic coma
459163017,type i diabetes mellitus with hypoglycaemic coma
459292011,type 1 diabetes mellitus with arthropathy
459293018,insulin dependent diabetes mellitus with arthropathy
459294012,type i diabetes mellitus with arthropathy
459296014,type 1 diabetes mellitus with neuropathic arthropathy
494564012,type i diabetes mellitus
1780311019,type 1 diabetes mellitus with persistent microalbuminuria
2967831017,pre-existing type 1 diabetes mellitus in pregnancy
72651000006114,unstable insulin dependent diabetes mellitus
72711000006117,unstable type 1 diabetes mellitus
72721000006113,unstable type i diabetes mellitus
84281000006115,type 1 diabetes mellitus
84291000006117,type 1 diabetes mellitus - poor control
84301000006116,type 1 diabetes mellitus maturity onset
84311000006118,type 1 diabetes mellitus with arthropathy
84321000006114,type 1 diabetes mellitus with diabetic cataract
84331000006112,type 1 diabetes mellitus with gangrene
84341000006119,type 1 diabetes mellitus with hypoglycaemic coma
84361000006115,type 1 diabetes mellitus with multiple complications
84371000006110,type 1 diabetes mellitus with nephropathy
84381000006113,type 1 diabetes mellitus with neurological complications
84391000006111,type 1 diabetes mellitus with neuropathic arthropathy
84401000006113,type 1 diabetes mellitus with ophthalmic complications
84421000006115,type 1 diabetes mellitus with polyneuropathy
84431000006117,type 1 diabetes mellitus with renal complications
84441000006110,type 1 diabetes mellitus with retinopathy
84451000006112,type 1 diabetes mellitus with ulcer
84461000006114,type 1 diabetes mellitus without complication
84651000006114,type i diabetes mellitus
84661000006111,type i diabetes mellitus poorly controlled
84671000006116,type i diabetes mellitus maturity onset
84681000006118,type i diabetes mellitus with arthropathy
84701000006115,type i diabetes mellitus with gangrene
84711000006117,type i diabetes mellitus with hypoglycaemic coma
84721000006113,mononeuropathy with type 1 diabetes mellitus
84731000006111,multiple complications of type 1 diabetes mellitus
84741000006118,type i diabetes mellitus with nephropathy
84751000006116,type i diabetes mellitus with neurological complications
84761000006119,type i diabetes mellitus with neuropathic arthropathy
84771000006114,disorder of eye with type 1 diabetes mellitus
84781000006112,type i diabetes mellitus with peripheral angiopathy
84801000006111,type i diabetes mellitus with renal complications
84811000006114,type i diabetes mellitus with retinopathy
84821000006118,type i diabetes mellitus with ulcer
84831000006115,type i diabetes mellitus without complication
299601000000114,gastroparesis with type 1 diabetes mellitus
616591000006117,"diabetes mellitus, juvenile +peripheral circulatory disorder"
616601000006113,"diabetes mellitus, juvenile type, + ophthalmic manifestation"
616611000006111,disorder due to type 1 diabetes mellitus
616621000006115,type 1 diabetes mellitus without complication
616641000006110,"diabetes mellitus, juvenile type, with ketoacidosis"
616651000006112,"diabetes mellitus, juvenile type, with ketoacidotic coma"
616661000006114,"diabetes mellitus, juvenile type, with renal manifestation"
616671000006119,"diabetes mellitus, juvenile, + neurological manifestation"
616681000006116,"diabetes mellitus, juvenile, + other specified manifestation"
771331000006116,insulin dependent diabetes mellitus with arthropathy
771341000006114,insulin dependent diabetes mellitus with diabetic cataract
771351000006111,insulin dependent diabetes mellitus with gangrene
771361000006113,insulin dependent diabetes mellitus with hypoglycaemic coma
771371000006118,insulin dependent diabetes mellitus with mononeuropathy
