medcodeid,term
302011,diabetic peripheral angiopathy
4031011,old myocardial infarction
4032016,healed myocardial infarction
7844010,preinfarction syndrome
7845011,unstable angina
7847015,crescendo angina
22740018,aneurysm of iliac artery
32122016,status anginosus
37443015,heart attack
58046010,vertebral artery syndrome
59952018,nocturnal angina
80421013,aneurysm of popliteal artery
87208017,thromboangiitis obliterans
87210015,buerger's disease
94884017,acute myocardial infarction
98087016,angina decubitus
105536013,intermittent claudication
106392017,basilar artery syndrome
106394016,vertebrobasilar insufficiency
109915012,post-myocardial infarction syndrome
116992017,acute subendocardial infarction
118689010,cerebral thrombosis
125470015,cerebral embolism
133518010,gas gangrene
144819018,variant angina pectoris
151487012,aneurysm of femoral artery
158118014,cerebellar infarction
208365015,postoperative myocardial infarction
216185010,peripheral vascular disease monitoring
251679016,h/o: angina pectoris
256133012,o/e - gangrene
256452010,ecg: myocardial infarction
256454011,ecg: old myocardial infarction
256455012,ecg: antero-septal infarct.
256457016,ecg:posterior/inferior infarct
256459018,ecg: lateral infarction
256460011,ecg: myocardial infarct nos
264492012,angina control
264493019,angina control - good
264494013,angina control - poor
264495014,angina control - improving
264496010,angina control - worsening
264497018,angina control nos
264499015,stroke monitoring
264500012,chd monitoring
271431019,other bypass of bifurcation of aorta
271444012,other specified other bypass of bifurcation of aorta
271445013,other bypass of bifurcation of aorta nos
271842015,other specified replacement of aneurysmal iliac artery
271843013,replacement of aneurysmal iliac artery nos
271865013,emergency bypass of iliac artery by unspecified anastomosis
271867017,other specified other bypass of iliac artery
271868010,other bypass of iliac artery nos
271880019,other specified reconstruction of iliac artery
271881015,reconstruction of iliac artery nos
271891014,operation on aneurysm of iliac artery nec
271895017,other specified other open operation on iliac artery
271896016,other open operation on iliac artery nos
271900018,percutaneous transluminal angioplasty of iliac artery
271901019,percutaneous transluminal embolectomy of iliac artery
271905011,insertion of iliac artery stent
271907015,other specified transluminal operation on iliac artery
271908013,transluminal operation on iliac artery nos
272003016,other bypass of femoral artery or popliteal artery nos
272014018,endarterectomy of popliteal artery
272017013,profundoplasty of femoral artery nec
272018015,profundoplasty of popliteal artery nec
272019011,reconstruction of femoral artery with vein graft
272020017,reconstruction of popliteal artery with vein graft
272022013,reconstruction of femoral or popliteal artery nos
272029016,repair of femoral artery nec
272030014,repair of popliteal artery
272031013,open embolectomy of femoral artery
272032018,open thrombectomy of femoral artery
272034017,open thrombectomy of popliteal artery
272035016,open embolectomy popliteal artery
272036015,ligation of aneurysm of popliteal artery
272037012,operation on aneurysm of femoral artery nec
272038019,operation on popliteal artery nec
272041011,repair of femoral artery with temporary silastic shunt
272042016,repair of popliteal artery with temporary silastic shunt
272052017,percutaneous transluminal angioplasty of femoral artery
272055015,percutaneous transluminal embolectomy of femoral artery
272056019,percutaneous transluminal embolectomy of popliteal artery
272059014,percutaneous transluminal embolisation of femoral artery
272061017,percutaneous transluminal embolisation of popliteal artery
272066010,arteriography of popliteal artery
272071015,other specified operations on iliac and femoral artery
272076013,revision of reconstruction involving iliac artery
272077016,revision of reconstruction involving femoral artery
272078014,revision of reconstruction of popliteal artery
279423010,deep circumflex iliac artery flap
286566010,gas gangrene-hand
286569015,gas gangrene-leg
286570019,gas gangrene-foot
292523015,diabetes mellitus nos with peripheral circulatory disorder
292541011,type 1 diabetes mellitus with gangrene
292543014,type i diabetes mellitus with gangrene
292582011,type ii diabetes mellitus with gangrene
292583018,type 2 diabetes mellitus with gangrene
299707016,acute anterior myocardial infarction
299709018,anterior myocardial infarction nos
299710011,acute posterior myocardial infarction
299711010,acute lateral myocardial infarction
299712015,true posterior myocardial infarction
299714019,acute myocardial infarction of inferior wall
