medcodeid,term
1011861000006110,adverse reaction to antihypertensive drugs
1011871000006115,adverse reaction to vasodilator antihypertensive drugs
1011881000006117,adverse reaction to centrally acting antihypertensive drugs
107545013,hypertensive heart disease
108730018,malignant hypertensive renal disease
109700019,benign hypertensive heart and renal disease
110659019,malignant hypertensive heart and renal disease
12496011,hypertensive retinopathy
131046010,malignant essential hypertension
13688011000006110,multiple drug intolerant hypertension
13941061000006111,mild pulmonary hypertension
13941071000006116,moderate pulmonary hypertension
1409014,benign hypertensive renal disease
143003017,hypertensive heart and renal disease
146259010,secondary pulmonary hypertension
151161000006115,malignant secondary hypertension
1529013,blind hypertensive eye
158241000006117,secondary hypertension nos
16051000000119,hypertens.monitoring admin.nos
1706551000000114,hypertension 9 month review
1749291000006113,thromboembolic pulmonary hypertension
1780252014,hypertension treatment refused
1780253016,hypertension six month review
1780318013,moderate hypertension control
1780319017,hypertension annual review
179371000006114,hypertension monitoring refused
1806071000006118,stage 1 hypertension
1806081000006115,stage 2 hypertension
1806141000006113,severe hypertension
1823901000006112,hypertension confirmed
1846941000006119,stage 1 hypertension (nice - national institute for health and clinical excellence 2011)
1846961000006115,severe hypertension (nice - national institute for health and clinical excellence 2011)
1846991000006111,stage 2 hypertension (nice - national institute for health and clinical excellence 2011)
1855781000006115,hypertension monitoring in primary care
1855791000006117,hypertension monitoring in secondary care
1858771000006114,auras-af - consider the patient to have hypertension
1877391000006112,hypertension clinical management plan no longer in place
1908711000006115,stage 1 hypertension (nice 2011) without evidence of end organ damage
1908721000006111,stage 1 hypertension (nice 2011) with evidence of end organ damage
19411000006110,other pre-exist hypertension in preg/childb/puerp + p/n comp
19421000006119,other pre-exist hypertension in preg/childb/puerp-not deliv
19431000006116,other pre-existing hypertension in preg/childb/puerp - deliv
19441000006114,other pre-existing hypertension in preg/childb/puerp nos
19451000006111,other pre-existing hypertension in preg/childb/puerp unspec
1992471000006116,vte risk assessment - uncontrolled systolic hypertension
2115801000000110,hypertension self-management plan review
2117971000000119,hypertension self-management plan agreed
212961000006118,pre-eclampsia or eclampsia + pre-existing hypertension nos
212971000006113,pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication
212981000006111,pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication
212991000006114,pre-eclampsia or eclampsia with pre-existing hypertension - delivered
213001000006110,pre-eclampsia or eclampsia with pre-existing hypertension - not delivered
213081000006118,"pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium"
213091000006115,"pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"
213101000006114,"pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium"
213111000006112,"pre-existing hypertension complicating pregnancy, childbirth and puerperium"
2159168015,patient on maximal tolerated antihypertensive therapy
21601000000111,hypertension monitoring administration
2193021000000110,severe hypertension
2193031000000112,stage 1 hypertension
2193971000000110,hypertension resistant to drug therapy
2297871000000111,pulmonary arterial hypertension drugs band 1
2297911000000113,pulmonary arterial hypertension drugs band 2
2297951000000112,pulmonary arterial hypertension drugs band 3
2297991000000116,pulmonary arterial hypertension drugs band 4
2423811000000118,telehealth hypertension monitoring
2474335018,hypertension clinical management plan
