medcodeid,term
1009271000006118,non smoker - nos
102921000006112,tobacco smoking consumption
102951000006115,tobacco dependence
103051000006114,tobacco usage screen
103061000006111,tobacco usage screening
1059701000000119,ex roll-up cigarette smoker
1063391000006114,adverse reaction to bupropion hydrochloride
108938018,cigarette smoker
1123541000000118,stop smoking face to face follow-up
1123751000000113,non-smoker annual review - enhanced services administration
1123951000000110,ex-smoker annual review - enhanced services administration
1124241000006113,adverse reaction to bupropion hydrochloride
1125741000000111,brief intervention for smoking cessation
1151791000000117,recently stopped smoking
1152111000000118,current smoker annual review
1154431000000112,non-smoker annual review
1154471000000114,ex-smoker annual review
1175011000000112,smoking cessation programme declined
1176421000000118,smoking cessation advice declined
11793611000006110,smoking cessation behaviour support
11904991000006116,occasional cigarette smoker
12024741000006113,monitoring of smoking cessation therapy
12626191000006119,vba (very brief advice) on smoking
128130017,smoker
128311000006112,stop smoking monitoring first letter
128321000006116,stop smoking monitoring second letter
128331000006118,stop smoking monitoring third letter
128361000006110,stop smoking monitoring telephone invite
128371000006115,stop smoking monitoring verbal invite
128381000006117,stop smoking monitoring check done
13494621000006118,referral for brief intervention for smoking cessation
13499671000006118,brief intervention for smoking cessation
13619901000006115,number of calculated smoking pack years
136515019,pipe smoker
137711000006111,smoker (read codes)
137721000006115,smoker - amount smoked
137751000006112,smoking age
137761000006114,smoking age ceased
137771000006119,smoking age started
137791000006118,smoking restarted
137811000006119,smoking status
1484932017,smoking cessation milestones
1484933010,negotiated date for cessation of smoking
1484934016,smoking status at 4 weeks
1484935015,smoking status between 4 and 52 weeks
1484936019,smoking status at 52 weeks
1484937011,nicotine replacement therapy provided free
14866014,non-smoker
1488576014,thinking about stopping smoking
1488577017,ready to stop smoking
1488578010,not interested in stopping smoking
1488666019,no smokers in the household
1488870013,nicotine replacement therapy contraindicated
1488871012,bupropion contraindicated
1488872017,bupropion refused
1488873010,smoking free weeks
1488922018,adverse reaction to bupropion
1489355012,referral to smoking cessation advisor
150398019,nicotine withdrawal
1563081000000115,practice based smoking cessation programme start date
1591651000006110,smoking cessation referral declined
1592611000000110,failed attempt to stop smoking
16261000000110,stop smoking monitoring administration
1626121000006116,smoking cessation drug therapy - varenicline
1651711000000113,consent given for smoking cessation data sharing
1653781000000119,declined consent for smoking cessation data sharing
16581000006111,other smoking information
16588018,tobacco deposit on teeth
1662911000000114,consent given for follow-up by smoking cessation team
1662951000000113,declined consent for follow-up by smoking cessation team
1676351000006110,nicotine replacement therapy using nicotine sublingual tablets
1694421000006112,stop smoking monitoring admin.
1697731000006111,nicotine replacement therapy not tolerated
1704491000006115,smoking cessation enhanced services administration monitoring template completed
1704551000006110,referred for copd structured smoking assessment
1704561000006112,referred for chronic obstructive pulmonary disease structured smoking assessment
1704571000006117,chronic obstructive pulmonary disease structured smoking assessment declined
1704581000006119,copd structured smoking assessment declined
1708051000000119,smoking status at 12 weeks
1709641000000115,referral for smoking cessation service offered
1714541000006110,current smoker annual review - enhanced services admin
1715591000006117,referral to national health service stop smoking service
1716141000000117,lost to smoking cessation follow-up
1741641000006117,smoking cessation esa monitoring template completed
1746211000006111,smoking status at 12 weeks
1750931000000118,stop smoking service opportunity signposted
1751721000000113,stop smoking invitation short message service text message
1754091000000110,issue of nicotine replacement therapy voucher
1755201000006117,consent given for follow-up evaluation after smoking cessation intervention
1755231000006113,declined consent for follow-up evaluation after smoking cessation intervention
1771191000006119,attends smoking cessation clinic not at practice
1773560017,smoking cessation programme start date
1777011000006118,reason for referral: smoking cessation
1778181000006110,group session: stop smoking education programme
1780273014,seen by smoking cessation advisor
1780360012,reason for restarting smoking
1780396011,cigarette pack-years
1785671000006116,stop smoking invitation first short message service text message
1785681000006118,stop smoking invitation second short message service text message
1785691000006115,stop smoking invitation third short message service text message
1809121000006113,waterpipe tobacco consumption
1809131000006111,total time smoked
1817431000006112,tobacco use and exposure
1819411000006114,smoking increased
1823811000006115,smoking cessation 12 week follow up
1825071000006116,smoking cessation 12 week f/u not completed
1825081000006118,smoking cessation 12 week f/u completed
1833971000006116,stop smoking satisfaction questionnaire given
1873511000006118,care contact service: smoking/substance cessation/interven prog.
1879431000006110,user of electronic cigarette
1889671000006116,child 27-30 mth exam.- smoking cessation support provided
1889681000006118,child 27-30 mth exam.- signpost to smoking cessation
1889691000006115,child 27-30 mth exam. - discuss with smoking cessation service
1889701000006115,child 27-30 mth exam. - requ. assist. from smoking cessation
1889711000006117,child 27-30 mth exam. - refused smoking cessation service
1899541000006110,mother's smoking status at time of baby's birth
1899551000006112,mother's smoking status at time of baby's birth - smoker
1899561000006114,mother's smoking status at time of baby's birth - ex-smoker
1899581000006116,mother's smoking status at time of baby's birth - never smoked
1925121000006113,issue of nicotine replacement therapy voucher
1934421000006119,child 27-30 mth exam. - smoking cessation input not required
1973821000006117,"mental & behav dis due to use tobacco: acute intoxication, uncomplicated"
1973841000006112,"mental & behav dis due to use tobacco: acute intoxication, with trauma or other bodily injury"
1973851000006114,"mental & behav dis due to use tobacco: acute intoxication, with other medical complications"
1973921000006114,"mental & behav dis due to use tobacco: acute intoxication, with delirium"
1973951000006117,"mental & behav dis due to use tobacco: acute intoxication, with perceptual distortions"
1973981000006113,"mental & behav dis due to use tobacco: acute intoxication, with coma"
1974031000006110,"mental & behav dis due to use tobacco: acute intoxication, with convulsions"
1974281000006116,"mental and behav dis due to use tobacco: dependence syndr, currently abstinent"
1974311000006119,"mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but in a protected environment"
1974341000006115,"mental and behav dis due to use tobacco: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]"
1974371000006111,"mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs"
1974401000006114,"mental and behav dis due to use tobacco: dependence syndr, currently using the substance [active dependence]"
1974421000006116,"mental and behav dis due to use tobacco: dependence syndr, continuous use"
